Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),UNZ_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNZ_0:Zone Operative Temperature [C](Hourly),UNZ_0:Zone Air Relative Humidity [%](Hourly),UNZ_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),PEOPLE UNZ_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly) 
 03/30  24:00:00,14.8375,51.625,0.75,0.0,21.8015934802562,39.3754601799955,0.0,17.4871741836116 
 03/31  01:00:00,14.1875,53.875,1.25,0.0,21.9631846474773,44.1389128009734,0.0,17.5452058774912 
 03/31  02:00:00,13.9375,53.75,2.625,0.0,22.0749399850971,46.6547536755847,0.0,17.5452058774912 
 03/31  03:00:00,13.7125,53.625,1.125,0.0,22.156513335474,47.6279763510814,0.0,17.5452058774912 
 03/31  04:00:00,13.225,54.625,1.25,0.0,22.2078231654545,48.0452064073877,0.0,17.5452058774912 
 03/31  05:00:00,13.0625,55.625,3.25,0.0,22.2442802099456,48.1705395184185,0.0,17.5452058774912 
 03/31  06:00:00,12.975,56.625,2.75,997773.190422922,22.2419161405702,48.6312954298531,0.0,17.5452058774912 
 03/31  07:00:00,14.2125,54.5,0.75,4140457.59528587,22.2955114168427,49.063648878996,0.0,17.5452058774912 
 03/31  08:00:00,16.875,52.375,0.0,7275379.98497705,21.1303077608331,46.9515837368263,0.0,17.5452058774912 
 03/31  09:00:00,20.625,43.875,0.0,7534751.81129497,21.771027030611,42.2358587574831,0.0,17.5452058774912 
 03/31  10:00:00,24.7,30.25,0.0,7931284.47600466,22.6478596124124,43.7318618453945,0.0,17.5452058774912 
 03/31  11:00:00,26.6375,22.5,1.25,7880094.34083465,23.0325673357045,45.2508263072124,0.0,17.5452058774912 
 03/31  12:00:00,28.8375,15.375,2.625,7405852.81238698,23.4073765198497,43.629227656898,0.0,17.5452058774912 
 03/31  13:00:00,30.4375,10.75,3.,7896218.48714314,23.7995752073947,39.9685450440014,0.0,17.5452058774912 
 03/31  14:00:00,31.1375,10.,3.,8160357.21429408,24.196846887993,37.0284412742753,0.0,17.5452058774912 
 03/31  15:00:00,31.65,11.25,3.,8249935.23924299,24.5815001752718,35.8856868028974,0.0,17.5452058774912 
 03/31  16:00:00,31.7375,12.625,4.875,7063225.25963661,24.9245302371538,36.4048709166166,0.0,17.5452058774912 
 03/31  17:00:00,29.825,15.5,5.375,4759536.11441815,25.1467641899015,37.6444721661987,0.0,17.5452058774912 
 03/31  18:00:00,27.325,18.875,5.,2431872.85388007,25.2872013914464,38.9879741118551,0.0,17.5452058774912 
 03/31  19:00:00,25.5625,20.,3.75,0.0,25.4045493731867,39.6509102998342,0.0,17.5452058774912 
 03/31  20:00:00,23.625,21.875,3.,0.0,24.7321527620535,19.3405338528081,0.0,17.5452058774912 
 03/31  21:00:00,21.675,27.375,2.375,0.0,23.7675043630059,25.7490328127986,0.0,17.5452058774912 
 03/31  22:00:00,20.,32.5,0.75,0.0,22.8727997202987,29.6064891600372,0.0,17.5452058774912 
 03/31  23:00:00,18.4,34.,1.875,0.0,21.6254721510565,31.1151799713895,0.0,17.5452058774912 
 03/31  24:00:00,17.175,36.5,2.375,0.0,20.4838775042104,33.3292977966202,3261099.46036764,17.5452058774912 
 04/01  01:00:00,18.675,59.25,2.625,0.0,20.6855478286385,54.0975404386645,0.0,17.683525403797 
 04/01  02:00:00,19.2375,75.75,3.,0.0,20.9006798062969,71.4861555298225,0.0,17.683525403797 
 04/01  03:00:00,18.525,83.,3.625,0.0,20.3971451345028,78.3127216079596,0.0,17.683525403797 
 04/01  04:00:00,17.8625,89.75,3.375,0.0,20.0046003609923,83.819625741588,0.0,17.683525403797 
 04/01  05:00:00,17.4125,93.875,3.,0.0,19.6694759905474,87.2600058818994,2371519.38535194,17.683525403797 
 04/01  06:00:00,17.2375,93.75,1.125,11189.3340740514,19.5627426738867,85.8056999702403,385017.942921328,17.683525403797 
 04/01  07:00:00,17.0125,88.625,1.875,439725.702470196,19.3702401064827,81.5087933238499,32042110.057017,17.683525403797 
 04/01  08:00:00,18.525,88.5,3.625,2378158.82069669,19.7795742388607,83.6097778376613,0.0,17.683525403797 
 04/01  09:00:00,21.0625,84.375,4.,5038097.61310318,20.9632286316961,83.52626199767,0.0,17.683525403797 
 04/01  10:00:00,23.0625,74.125,4.625,6737228.96102741,21.4939426551957,87.8715943186738,0.0,17.683525403797 
 04/01  11:00:00,25.075,63.125,5.,7074154.85427603,21.9687675697848,88.9685146144367,0.0,17.683525403797 
 04/01  12:00:00,26.525,53.375,6.25,6476395.46352431,22.3940909684196,87.1718270909916,0.0,17.683525403797 
 04/01  13:00:00,27.5875,45.625,6.375,7159264.46737408,22.8145295301439,82.8364885177376,0.0,17.683525403797 
 04/01  14:00:00,28.625,39.25,6.625,8670149.6603767,23.2789291810051,77.4499560469546,0.0,17.683525403797 
 04/01  15:00:00,29.6875,32.,7.,9933496.0908543,23.7724690411686,71.4247580405254,0.0,17.683525403797 
 04/01  16:00:00,30.6625,25.25,7.,9438023.60437978,24.2381434380785,64.6192185672913,0.0,17.683525403797 
 04/01  17:00:00,30.4375,21.75,6.375,6524351.93635437,24.5692411769587,58.4143903763132,0.0,17.683525403797 
 04/01  18:00:00,29.225,24.125,6.,7182665.52470959,24.8898921324857,53.8207194089889,0.0,17.683525403797 
 04/01  19:00:00,27.575,25.375,5.375,0.0,25.0599797806364,51.9155715059262,0.0,17.683525403797 
 04/01  20:00:00,25.525,28.125,3.75,0.0,25.1572711418672,50.1674526660536,0.0,17.683525403797 
 04/01  21:00:00,23.6375,33.125,3.,0.0,24.603914674747,30.8468297651882,0.0,17.683525403797 
 04/01  22:00:00,22.375,33.75,3.,0.0,23.8936988454134,32.2199266632715,0.0,17.683525403797 
 04/01  23:00:00,21.6875,34.25,3.625,0.0,23.3291704251876,32.6235260141424,0.0,17.683525403797 
 04/01  24:00:00,21.625,33.125,4.625,0.0,23.1112865977804,31.6683710380886,0.0,17.683525403797 
 04/02  01:00:00,20.45,43.25,3.75,0.0,22.5036572460931,40.6778109188126,0.0,17.8677203903371 
 04/02  02:00:00,19.075,57.5,3.,0.0,21.8576193046378,52.8467930752357,0.0,17.8677203903371 
 04/02  03:00:00,18.6375,64.5,2.375,0.0,21.4897756386184,58.9310516175498,0.0,17.8677203903371 
 04/02  04:00:00,18.6,60.375,0.75,0.0,21.3609735477754,54.7164645632923,0.0,17.8677203903371 
 04/02  05:00:00,18.225,57.625,1.25,0.0,20.6076713977512,54.2953711959557,0.0,17.8677203903371 
 04/02  06:00:00,17.6875,56.75,2.625,13996.3554431554,20.2359212961349,52.4313644295598,0.0,17.8677203903371 
 04/02  07:00:00,17.8125,49.125,3.,399496.823473632,20.0212896146808,45.8429527283359,0.0,17.8677203903371 
 04/02  08:00:00,19.125,45.,3.,2310832.25639231,20.4693488118101,42.7528577760214,0.0,17.8677203903371 
 04/02  09:00:00,22.7375,32.5,3.,4685713.65634785,21.6656609193486,40.937696053235,0.0,17.8677203903371 
 04/02  10:00:00,26.125,27.5,3.,5468376.5506396,22.1814286606192,44.1582443068761,0.0,17.8677203903371 
 04/02  11:00:00,27.35,34.625,3.625,6227233.037855,22.6472000205193,49.5995690704942,0.0,17.8677203903371 
 04/02  12:00:00,28.5625,34.875,4.625,5306957.0687043,23.0487941662481,56.1529836224663,0.0,17.8677203903371 
 04/02  13:00:00,29.3875,33.,6.25,6170685.10936422,23.4691265102118,59.2475388318882,0.0,17.8677203903371 
 04/02  14:00:00,29.4375,23.625,7.,5752068.79894149,23.8439638649308,58.4186454552058,0.0,17.8677203903371 
 04/02  15:00:00,29.775,19.25,8.875,6361091.07335047,24.2219114557574,52.2795079400118,0.0,17.8677203903371 
 04/02  16:00:00,30.25,20.,10.,7980485.8655366,24.6553540802376,48.9252479640927,0.0,17.8677203903371 
 04/02  17:00:00,29.4,23.125,10.625,6823931.57319271,24.9961963792429,48.0143440579632,0.0,17.8677203903371 
 04/02  18:00:00,28.425,26.875,11.,9251579.36972398,25.3831811908423,48.5023695978623,0.0,17.8677203903371 
 04/02  19:00:00,27.2,31.125,9.125,0.0,25.5457956507822,50.2143147008055,0.0,17.8677203903371 
 04/02  20:00:00,26.35,31.75,8.,0.0,25.6556702896518,51.6402509054201,0.0,17.8677203903371 
 04/02  21:00:00,26.2,28.5,7.375,0.0,25.8011256000641,50.9726169295921,0.0,17.8677203903371 
 04/02  22:00:00,26.0125,27.625,6.375,0.0,25.9250625231212,49.4045714920492,0.0,17.8677203903371 
 04/02  23:00:00,25.025,34.25,6.,0.0,25.6553120203491,36.7153909577571,0.0,17.8677203903371 
 04/02  24:00:00,23.5625,47.375,6.,0.0,24.9200905107656,45.3287626708365,0.0,17.8677203903371 
 04/03  01:00:00,22.125,57.375,3.5,0.0,24.0756889955561,54.1025255261305,0.0,18.0845255439925 
 04/03  02:00:00,22.6625,49.375,5.125,0.0,24.1175681354518,46.9629326628452,0.0,18.0845255439925 
 04/03  03:00:00,21.8625,51.125,8.875,0.0,23.6394921006947,48.7611963188467,0.0,18.0845255439925 
 04/03  04:00:00,20.4375,57.25,9.375,0.0,22.724551759221,53.7406922768832,0.0,18.0845255439925 
 04/03  05:00:00,19.9125,58.625,7.75,0.0,22.1901268219326,55.0311439267495,0.0,18.0845255439925 
 04/03  06:00:00,19.425,60.875,6.375,9432.40884797412,21.6099715214842,57.5651621837593,0.0,18.0845255439925 
 04/03  07:00:00,18.0125,68.25,4.125,432479.828569033,20.8095896825807,62.818518800939,0.0,18.0845255439925 
 04/03  08:00:00,18.6125,63.875,4.25,2187858.23254597,20.7681306833742,59.7866827635299,0.0,18.0845255439925 
 04/03  09:00:00,20.15,54.625,4.375,4472337.49547004,21.4377968819794,52.3276555895427,0.0,18.0845255439925 
 04/03  10:00:00,21.7875,49.5,5.25,6084558.92546133,22.3472146290465,48.393471345294,0.0,18.0845255439925 
 04/03  11:00:00,23.625,41.75,6.,5717775.28472372,23.0017330288523,52.4966182750418,0.0,18.0845255439925 
 04/03  12:00:00,25.05,34.875,6.625,5306400.8946911,23.385609450831,54.3828810131367,0.0,18.0845255439925 
 04/03  13:00:00,26.75,29.25,7.,4021845.38358355,23.6967644761259,53.9875896391282,0.0,18.0845255439925 
 04/03  14:00:00,28.1875,24.5,7.,4009868.05281663,24.0086529817951,52.3367641840256,0.0,18.0845255439925 
 04/03  15:00:00,29.475,20.5,7.,2473693.17895464,24.2600184267195,50.1436188554806,0.0,18.0845255439925 
 04/03  16:00:00,30.,19.,7.625,2155202.7773687,24.5046785330886,47.8897331220702,0.0,18.0845255439925 
 04/03  17:00:00,30.,17.75,8.,2152593.85800122,24.7431360186765,46.152753101846,0.0,18.0845255439925 
 04/03  18:00:00,29.375,17.625,7.375,4719461.125553,25.0679938988355,44.1423661799146,0.0,18.0845255439925 
 04/03  19:00:00,28.1875,18.625,7.,0.0,25.2984061547381,42.8884352258636,0.0,18.0845255439925 
 04/03  20:00:00,26.5125,22.125,5.75,0.0,25.4530962919671,42.5698954087662,0.0,18.0845255439925 
 04/03  21:00:00,25.1125,26.5,4.375,0.0,25.4518413748268,33.3663540203816,0.0,18.0845255439925 
 04/03  22:00:00,24.2625,29.25,4.625,0.0,25.1278618771328,28.3812039455436,0.0,18.0845255439925 
 04/03  23:00:00,23.1875,33.125,4.375,0.0,24.5844344676187,31.7896986126202,0.0,18.0845255439925 
 04/03  24:00:00,21.6375,42.5,4.,0.0,23.7002731843787,39.8721953412232,0.0,18.0845255439925 
 04/04  01:00:00,19.3125,55.125,3.375,0.0,22.4622767584039,50.3812087871635,0.0,18.2832358036372 
 04/04  02:00:00,17.7375,61.25,3.,0.0,21.0594425679906,56.5013770447157,0.0,18.2832358036372 
 04/04  03:00:00,17.025,61.375,3.,0.0,20.1446137295675,56.6780562317729,28713987.3704497,18.2832358036372 
 04/04  04:00:00,16.1125,66.,3.,0.0,20.6023790408909,52.8168891980328,52966674.7065943,18.2832358036372 
 04/04  05:00:00,15.575,69.625,3.,0.0,22.079441564335,51.1114554964364,0.0,18.2832358036372 
 04/04  06:00:00,15.1875,71.25,3.,2792.55823700036,22.308844121169,56.1801704073625,0.0,18.2832358036372 
 04/04  07:00:00,14.875,71.375,3.,125185.70028556,22.4480470091229,58.7593620167942,0.0,18.2832358036372 
 04/04  08:00:00,16.675,64.125,1.125,883264.050427518,20.8892982597975,57.149668709679,11349993.6812564,18.2832358036372 
 04/04  09:00:00,20.05,51.875,1.875,2509457.17186805,21.242271972127,49.5594275253855,0.0,18.2832358036372 
 04/04  10:00:00,22.5875,43.25,3.,4391216.90390208,22.3292829309597,48.2101320714049,0.0,18.2832358036372 
 04/04  11:00:00,23.9875,39.125,3.625,6099891.96500125,22.7568191378838,52.9341441427781,0.0,18.2832358036372 
 04/04  12:00:00,25.4625,33.,4.625,7097456.3344289,23.1974782892278,54.2090478446713,0.0,18.2832358036372 
 04/04  13:00:00,26.6625,26.875,5.,7416953.82808932,23.6190248543133,52.7222576520021,0.0,18.2832358036372 
 04/04  14:00:00,27.9375,22.5,5.625,5592937.20598821,23.9498621032807,50.2770725992173,0.0,18.2832358036372 
 04/04  15:00:00,28.9375,19.75,6.625,4360425.35274606,24.2056465252242,47.968432469522,0.0,18.2832358036372 
 04/04  16:00:00,29.2625,17.125,7.,4479226.10235033,24.4847075776009,45.5970162922183,0.0,18.2832358036372 
 04/04  17:00:00,29.3,16.,7.,5494688.80765042,24.8022323957586,42.9962856727885,0.0,18.2832358036372 
 04/04  18:00:00,28.8,16.,7.,5260735.32722914,25.0845988124657,41.3062642337637,0.0,18.2832358036372 
 04/04  19:00:00,27.875,16.625,7.,0.0,25.2799499578122,40.1532325035727,0.0,18.2832358036372 
 04/04  20:00:00,26.4375,17.,6.375,0.0,25.4074867602275,39.4385763088824,0.0,18.2832358036372 
 04/04  21:00:00,24.9875,20.125,5.375,0.0,25.364099140652,28.0592713856478,0.0,18.2832358036372 
 04/04  22:00:00,22.3125,30.125,3.75,0.0,24.0743896898139,28.881081741083,0.0,18.2832358036372 
 04/04  23:00:00,20.0625,38.75,3.,0.0,22.9199050157161,35.6511580843158,0.0,18.2832358036372 
 04/04  24:00:00,19.,44.75,3.,0.0,22.1024613937293,40.7831698438178,0.0,18.2832358036372 
 04/05  01:00:00,19.2625,45.125,1.125,0.0,21.7862360055201,41.7267084225088,0.0,18.4196626657382 
 04/05  02:00:00,19.225,46.5,2.5,0.0,21.5875837313167,43.255466365895,0.0,18.4196626657382 
 04/05  03:00:00,18.125,53.,3.375,0.0,20.9356342887497,48.8192306184722,0.0,18.4196626657382 
 04/05  04:00:00,17.6,56.,1.125,0.0,20.5966579844134,50.4687689219812,0.0,18.4196626657382 
 04/05  05:00:00,16.6,59.75,1.875,0.0,19.7150778756731,54.3185783489453,54640173.0508998,18.4196626657382 
 04/05  06:00:00,16.25,59.5,3.,0.0,19.3628398671618,53.3556207750868,120523917.047732,18.4196626657382 
 04/05  07:00:00,15.775,62.375,2.375,176367.47752593,20.3763735747459,48.1735684448674,30684607.223436,18.4196626657382 
 04/05  08:00:00,17.3375,58.125,2.625,1447315.08275076,19.5081990974773,54.0261796518051,40213447.9616794,18.4196626657382 
 04/05  09:00:00,20.0625,46.5,4.25,4197228.63298547,20.7266412810082,46.5180957096899,0.0,18.4196626657382 
 04/05  10:00:00,22.25,35.75,5.,6327771.39975998,21.533003612376,47.486935221156,0.0,18.4196626657382 
 04/05  11:00:00,24.1875,28.25,5.625,7025519.4287609,22.0318468462154,48.281312369264,0.0,18.4196626657382 
 04/05  12:00:00,25.7125,22.875,6.,6585573.80736412,22.4730075482158,47.0776095456356,0.0,18.4196626657382 
 04/05  13:00:00,26.7625,19.75,6.,7492661.40752295,22.9276524292525,44.8983366790331,0.0,18.4196626657382 
 04/05  14:00:00,27.6625,17.125,6.,7369221.53936821,23.3560422412227,42.8717907373585,0.0,18.4196626657382 
 04/05  15:00:00,28.25,13.5,6.,5684387.91302668,23.6979242568809,40.5353165707271,0.0,18.4196626657382 
 04/05  16:00:00,28.525,11.375,6.,3448952.31884663,23.9267702150175,37.8590829438933,0.0,18.4196626657382 
 04/05  17:00:00,28.725,11.,6.625,1813517.59926922,24.1203289661645,35.9369741255751,0.0,18.4196626657382 
 04/05  18:00:00,28.3,12.25,6.375,888442.710953597,24.3326391951586,35.0117394440897,0.0,18.4196626657382 
 04/05  19:00:00,27.125,12.375,6.,0.0,24.5309660595405,34.7448437980054,0.0,18.4196626657382 
 04/05  20:00:00,25.4125,14.5,4.75,0.0,24.6743375235819,34.396696424375,0.0,18.4196626657382 
 04/05  21:00:00,23.0125,22.25,3.375,0.0,24.0572269502007,20.6383742146419,0.0,18.4196626657382 
 04/05  22:00:00,20.75,34.125,2.375,0.0,22.981257337522,32.0133689771744,0.0,18.4196626657382 
 04/05  23:00:00,19.6875,39.,0.75,0.0,22.4663507188185,35.3848383895175,0.0,18.4196626657382 
 04/05  24:00:00,18.875,41.5,0.0,0.0,22.0474855789283,36.6413107356647,0.0,18.4196626657382 
 04/06  01:00:00,18.4375,42.375,0.0,0.0,21.6346433950865,37.3613898877653,0.0,18.5494933546581 
 04/06  02:00:00,17.2125,50.75,1.25,0.0,20.3263185642948,46.5876528137396,9884838.71533177,18.5494933546581 
 04/06  03:00:00,15.875,57.875,0.75,0.0,20.5565825104435,46.4531516411264,17978259.3013565,18.5494933546581 
 04/06  04:00:00,15.375,60.875,0.0,0.0,21.9732251875155,45.3556909164619,0.0,18.5494933546581 
 04/06  05:00:00,14.675,63.25,0.0,0.0,22.1797166530092,50.4422107674224,0.0,18.5494933546581 
 04/06  06:00:00,14.05,66.5,0.0,8389.37758948545,22.2862631391149,53.1468632910803,0.0,18.5494933546581 
 04/06  07:00:00,13.65,70.5,2.5,381326.047317638,22.3341970120094,55.235294990931,0.0,18.5494933546581 
 04/06  08:00:00,15.125,63.875,1.5,2626841.07170478,21.870736253139,55.5481116084855,87432.4810097844,18.5494933546581 
 04/06  09:00:00,18.85,47.125,1.875,6118259.34890151,20.8155813560863,44.1152888101776,0.0,18.5494933546581 
 04/06  10:00:00,22.1875,36.25,1.125,6644256.82191444,22.2328085804699,37.2216129473368,0.0,18.5494933546581 
 04/06  11:00:00,24.6375,30.25,0.0,6538076.33841721,22.7385174738286,42.403502683164,0.0,18.5494933546581 
 04/06  12:00:00,26.4375,23.625,0.0,5844784.46764341,23.0842315412187,45.0764797698757,0.0,18.5494933546581 
 04/06  13:00:00,27.8125,21.,0.0,5723214.54685977,23.4160884956262,44.8585215340612,0.0,18.5494933546581 
 04/06  14:00:00,27.8,24.125,3.125,7355201.54210228,23.7905834158181,45.4420478496018,0.0,18.5494933546581 
 04/06  15:00:00,27.8125,24.125,5.,8839850.00949903,24.2051504883124,46.5919626369754,0.0,18.5494933546581 
 04/06  16:00:00,27.75,23.625,5.,9394142.59049839,24.6202579731067,46.471589640993,0.0,18.5494933546581 
 04/06  17:00:00,27.5375,24.625,5.,7698945.34414446,24.9221291073134,46.6342450561595,0.0,18.5494933546581 
 04/06  18:00:00,26.5625,27.5,5.,12626128.2129755,25.349559534095,46.7031664466079,0.0,18.5494933546581 
 04/06  19:00:00,24.875,31.5,5.625,0.0,25.2204852703534,38.633905963575,0.0,18.5494933546581 
 04/06  20:00:00,23.45,34.25,4.125,0.0,24.5726063646969,33.0822927013039,0.0,18.5494933546581 
 04/06  21:00:00,21.9375,40.625,2.375,0.0,23.8391173448746,38.0633212806914,0.0,18.5494933546581 
 04/06  22:00:00,20.3625,51.5,2.625,0.0,22.9797335787419,47.5457861824939,0.0,18.5494933546581 
 04/06  23:00:00,19.675,54.75,4.25,0.0,22.3510170360987,50.6728888607981,0.0,18.5494933546581 
 04/06  24:00:00,18.6,61.5,3.75,0.0,21.5190484845685,56.8164480621362,0.0,18.5494933546581 
 04/07  01:00:00,17.8125,65.375,3.,0.0,20.691330003857,60.2164156424557,0.0,18.6407255206139 
 04/07  02:00:00,18.45,58.125,3.625,0.0,20.8618331386768,53.5924729572306,0.0,18.6407255206139 
 04/07  03:00:00,18.5875,56.5,2.75,0.0,20.7154226644992,52.8173168613316,0.0,18.6407255206139 
 04/07  04:00:00,18.775,54.875,2.625,0.0,20.6575976674626,51.5402523584182,0.0,18.6407255206139 
 04/07  05:00:00,18.,62.375,2.375,0.0,20.3034109190963,57.9386741790459,0.0,18.6407255206139 
 04/07  06:00:00,18.0875,64.25,0.75,33716.4545412649,20.3740018501999,58.879799499608,0.0,18.6407255206139 
 04/07  07:00:00,18.8125,57.625,2.5,1090687.18267494,20.4098730561876,54.4376770030826,0.0,18.6407255206139 
 04/07  08:00:00,19.625,48.125,5.25,4719552.52330814,20.7383592826529,46.1515193889401,0.0,18.6407255206139 
 04/07  09:00:00,21.375,39.625,2.25,7622653.41785183,21.698212114154,40.15636101512,0.0,18.6407255206139 
 04/07  10:00:00,22.45,38.875,1.25,8329296.21310992,22.3592431420177,45.0998990441668,0.0,18.6407255206139 
 04/07  11:00:00,24.4125,33.75,3.25,7846307.16099835,22.8125458752991,49.3034684909726,0.0,18.6407255206139 
 04/07  12:00:00,26.3125,26.25,3.375,7098070.08401808,23.2263234221312,49.7568762922384,0.0,18.6407255206139 
 04/07  13:00:00,28.675,19.,4.25,8089515.25986809,23.6702416903068,47.5467334366818,0.0,18.6407255206139 
 04/07  14:00:00,28.9875,26.625,6.25,8701139.09604722,24.1041875675223,46.8259116249374,0.0,18.6407255206139 
 04/07  15:00:00,29.125,28.,6.375,8910255.75058567,24.5018120244521,50.7475543459873,0.0,18.6407255206139 
 04/07  16:00:00,29.125,28.125,6.625,8540376.47047702,24.8779257314817,51.6999156490703,0.0,18.6407255206139 
 04/07  17:00:00,28.775,28.75,6.375,7295421.9797227,25.1893628032151,52.9073323483016,0.0,18.6407255206139 
 04/07  18:00:00,27.325,25.5,6.625,4870921.17339756,25.3923933221315,52.0944621978242,0.0,18.6407255206139 
 04/07  19:00:00,25.0625,33.375,7.625,0.0,25.2454499802619,42.4642706565481,0.0,18.6407255206139 
 04/07  20:00:00,23.2625,45.875,7.375,0.0,24.4654278402148,43.9639193815667,0.0,18.6407255206139 
 04/07  21:00:00,22.825,50.,7.,0.0,24.2018746104229,47.6375877585142,0.0,18.6407255206139 
 04/07  22:00:00,22.8375,46.875,6.375,0.0,24.0963342821176,44.8094909732029,0.0,18.6407255206139 
 04/07  23:00:00,22.3625,51.25,5.375,0.0,23.8285876147503,48.7248439273791,0.0,18.6407255206139 
 04/07  24:00:00,21.7875,57.5,3.75,0.0,23.443343409937,54.4370155678086,0.0,18.6407255206139 
 04/08  01:00:00,20.975,60.25,3.,0.0,22.8674666565794,56.7567367985497,0.0,18.7853402254823 
 04/08  02:00:00,20.6,68.5,3.625,0.0,22.4956376904847,64.578609424351,0.0,18.7853402254823 
 04/08  03:00:00,20.5375,76.125,4.625,0.0,22.3729855353966,72.1991925508946,0.0,18.7853402254823 
 04/08  04:00:00,20.375,70.5,4.375,0.0,22.2511805096528,66.1131672161459,0.0,18.7853402254823 
 04/08  05:00:00,20.175,64.75,4.,0.0,22.1131844429522,60.9506846356017,0.0,18.7853402254823 
 04/08  06:00:00,20.0375,59.625,4.,245847.980341131,21.9656404155008,56.0146857793684,0.0,18.7853402254823 
 04/08  07:00:00,19.6875,55.75,4.,1730605.21838911,21.6088744556454,52.8707259209242,0.0,18.7853402254823 
 04/08  08:00:00,20.4375,53.125,4.,5193804.77322493,21.9392879225157,50.5612916695112,0.0,18.7853402254823 
 04/08  09:00:00,22.875,42.,4.625,7504245.98889957,23.057646902908,44.2578878714613,0.0,18.7853402254823 
 04/08  10:00:00,24.9375,28.5,8.75,7841899.48388144,23.6968009427184,46.6088965438014,0.0,18.7853402254823 
 04/08  11:00:00,27.375,22.75,9.75,7556504.75251408,24.1133718510209,45.9044269984232,0.0,18.7853402254823 
 04/08  12:00:00,29.,28.25,8.375,6549869.2357545,24.4760786920444,47.4285618436,0.0,18.7853402254823 
 04/08  13:00:00,28.3,39.5,9.25,7157344.66710792,24.8195018769738,53.5390935826945,0.0,18.7853402254823 
 04/08  14:00:00,27.075,46.5,10.625,8262786.7572822,25.1703181995147,60.1700105677971,0.0,18.7853402254823 
 04/08  15:00:00,25.7,52.375,10.375,8777990.99044239,25.4983601053158,64.4674254691694,0.0,18.7853402254823 
 04/08  16:00:00,27.6,46.25,8.125,8104612.77330987,25.8247356535117,66.7042281581424,0.0,18.7853402254823 
 04/08  17:00:00,31.5375,29.125,9.5,6667425.83232285,26.1487677601565,65.1433814810265,0.0,18.7853402254823 
 04/08  18:00:00,30.5,32.,9.75,4604066.18661439,26.3605474888259,61.4083641856179,0.0,18.7853402254823 
 04/08  19:00:00,28.375,29.875,8.375,0.0,26.47682573886,59.9202402295147,0.0,18.7853402254823 
 04/08  20:00:00,27.0625,30.625,5.5,0.0,26.5694038937806,55.7154343104933,0.0,18.7853402254823 
 04/08  21:00:00,24.9375,49.625,5.25,0.0,25.9065390728881,47.2828116619461,0.0,18.7853402254823 
 04/08  22:00:00,23.75,54.625,6.625,0.0,25.3130375048685,51.6298660687782,0.0,18.7853402254823 
 04/08  23:00:00,23.6625,49.5,5.125,0.0,25.1229229444312,46.9979862027541,0.0,18.7853402254823 
 04/08  24:00:00,23.325,49.875,5.875,0.0,24.8426797199417,47.5049145692563,0.0,18.7853402254823 
 04/09  01:00:00,23.1,51.625,7.625,0.0,24.6019587477249,49.0412612991839,0.0,18.9762108290774 
 04/09  02:00:00,23.1625,52.,7.375,0.0,24.5688067612977,49.5163924205962,0.0,18.9762108290774 
 04/09  03:00:00,22.95,55.75,7.,0.0,24.3661410022789,53.0358474755577,0.0,18.9762108290774 
 04/09  04:00:00,22.425,59.875,6.375,0.0,24.0512838760097,56.7944693587044,0.0,18.9762108290774 
 04/09  05:00:00,21.7,66.,4.125,0.0,23.5709645794483,62.2001542835274,0.0,18.9762108290774 
 04/09  06:00:00,21.4625,69.625,3.625,224056.601688137,23.2036894876055,66.0832587145155,0.0,18.9762108290774 
 04/09  07:00:00,20.875,78.125,3.375,1663592.92297983,22.7573403429902,73.5172634131861,0.0,18.9762108290774 
 04/09  08:00:00,21.8125,76.125,3.625,5234643.79408996,23.1166918584693,73.0202692788994,0.0,18.9762108290774 
 04/09  09:00:00,24.475,57.,5.875,7551618.66544844,24.3181973055915,65.5416580295466,0.0,18.9762108290774 
 04/09  10:00:00,27.35,39.875,7.625,7920102.35871489,24.876336455492,65.2766362643312,0.0,18.9762108290774 
 04/09  11:00:00,29.775,32.5,8.,7473821.69973998,25.3090136479218,62.7757300642426,0.0,18.9762108290774 
 04/09  12:00:00,32.4125,26.625,8.,6407686.07181806,25.7073136430153,60.6009461639346,0.0,18.9762108290774 
 04/09  13:00:00,34.4375,22.75,6.125,6937673.88155057,26.1266941385701,58.096057910609,0.0,18.9762108290774 
 04/09  14:00:00,31.875,37.625,6.25,7765018.06091805,26.5114003084338,59.3365030946157,0.0,18.9762108290774 
 04/09  15:00:00,30.125,43.25,8.25,8171667.98153803,26.8734599220596,64.7389015939696,0.0,18.9762108290774 
 04/09  16:00:00,30.2625,40.375,8.375,7656728.94067404,27.2157413511037,65.9886676332299,0.0,18.9762108290774 
 04/09  17:00:00,30.7375,38.75,7.375,5991578.24979664,27.4866034422491,65.9600341207495,0.0,18.9762108290774 
 04/09  18:00:00,30.25,38.,7.,3876842.00704448,27.6749452468517,65.4814088946055,0.0,18.9762108290774 
